"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
6711540,"Sobolewski, M., Abston, K., Conrad, K., Marvin, E., Harvey, K., Susiarjo, M., Cory-Slechta, D. A.","Lineage- and Sex-Dependent Behavioral and Biochemical Transgenerational Consequences of Developmental Exposure to Lead, Prenatal Stress, and Combined Lead and Prenatal Stress in Mice",2020,carlson.laura@epa.gov,2,"Motor Function","Locomotor Activity",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"F0:
Control (distilled DI water), F, n = 10
100 ppm, F, n = 10
F1:
see Figure 1, n = 12
F2:
see Figure 1, n = 12
F3:
see Figure 1, n = 8-10","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,Multigenerational,"GD -60 to",,,"Long-Term (greater than 30 days)",,"There were also treatment groups that evaluated prenatal stress alone and in combination with Pb exposure.","PND 60-120 (variable by endpoint)","F1 PND 6-7:
0 ug/dL for Control
12.5 ug/dL for 100 ppm (F0 dosing)

F3 PND 6-7:
0 ng/dL for Control
0 ug/dL for 100 ppm (F0 dosing)","F1 PND 6-7:
0 ug/dL for Control
12.5 ug/dL for 100 ppm (F0 dosing)

F3 PND 6-7:
0 ng/dL for Control
0 ug/dL for 100 ppm (F0 dosing)",Yes,"Multigenerational study
also evaluated impact of prenatal stress"
6711540,"Sobolewski, M., Abston, K., Conrad, K., Marvin, E., Harvey, K., Susiarjo, M., Cory-Slechta, D. A.","Lineage- and Sex-Dependent Behavioral and Biochemical Transgenerational Consequences of Developmental Exposure to Lead, Prenatal Stress, and Combined Lead and Prenatal Stress in Mice",2020,carlson.laura@epa.gov,2,"Brain Structure and Function",Epigenetics,Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"F0:
Control (distilled DI water), F, n = 10
100 ppm, F, n = 10

F1:
see Figure 1, n = 12

F2:
see Figure 1, n = 12

F3:
see Figure 1, n = 8-10","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,Multigenerational,"GD -60 to",,,"Long-Term (greater than 30 days)",,"There were also treatment groups that evaluated prenatal stress alone and in combination with Pb exposure.","PND 60-120 (variable by endpoint)","F1 PND 6-7:
0 ug/dL for Control
12.5 ug/dL for 100 ppm (F0 dosing)

F3 PND 6-7:
0 ng/dL for Control
0 ug/dL for 100 ppm (F0 dosing)","F1 PND 6-7:
0 ug/dL for Control
12.5 ug/dL for 100 ppm (F0 dosing)

F3 PND 6-7:
0 ng/dL for Control
0 ug/dL for 100 ppm (F0 dosing)",Yes,"Multigenerational study
also evaluated impact of prenatal stress"
6713913,"Ouyang, L., Zhang, W., Du, G., Liu, H., Xie, J., Gu, J., Zhang, S., Zhou, F., Shao, L., Feng, C., Fan, G.","Lead exposure-induced cognitive impairment through RyR-modulating intracellular calcium signaling in aged rats",2019,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 6-10
0.05/0.01% solution, M/F, n = 6-10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD 0 to PND 679",,,"Long-Term (greater than 30 days)",701,"During gestation/lactation, dams were given 0.05% Pb in drinking water. After weaning, pups were maintained on Pb in drinking water but the concentration was decreased to 0.01%. 

It is somewhat unclear when exactly the animals were sacrificed. Authors state that animals were sacrificed on postnatal week 97 (PND 679) but also state that MWM began at the same time. I assume that animals were sacrificed at the end of the week after 5 days of MWM but they could also be separate groups of animals.","PND 674 to PND 679","wk 97:
0 mg/L (0 ug/dL) for Control
0.216 mg/L (21.6 ug/dL) for 0.05/0.01% solution","wk 97:
0 ug/dL for Control
21.6 ug/dL for 0.05/0.01% solution",Yes,
6713913,"Ouyang, L., Zhang, W., Du, G., Liu, H., Xie, J., Gu, J., Zhang, S., Zhou, F., Shao, L., Feng, C., Fan, G.","Lead exposure-induced cognitive impairment through RyR-modulating intracellular calcium signaling in aged rats",2019,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 6-10
0.05/0.01% solution, M/F, n = 6-10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD 0 to PND 679",,,"Long-Term (greater than 30 days)",701,"During gestation/lactation, dams were given 0.05% Pb in drinking water. After weaning, pups were maintained on Pb in drinking water but the concentration was decreased to 0.01%. 

It is somewhat unclear when exactly the animals were sacrificed. Authors state that animals were sacrificed on postnatal week 97 (PND 679) but also state that MWM began at the same time. I assume that animals were sacrificed at the end of the week after 5 days of MWM but they could also be separate groups of animals.","PND 679","wk 97:
0 mg/L (0 ug/dL) for Control
0.216 mg/L (21.6 ug/dL) for 0.05/0.01% solution","wk 97:
0 mg/L (0 ug/dL) for Control
0.216 mg/L (21.6 ug/dL) for 0.05/0.01% solution",Yes,"This study assessed the morphology of neurons in the hippocampus following lifetime Pb exposure via TEM."
6716240,"Saleh, H. A., Abd El-Aziz, G. S., Mustafa, H. N., El-Fark, M., Mal, A., Aburas, M., Deifalla, A. H.","Thymoquinone ameliorates oxidative damage and histopathological changes of developing brain neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), F, n = 8
160 ppm, F, n = 8","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"NR (190-220g) - 20d of treatment","Short-Term (less than or equal to 30 days)",20,,,"Pregnant dams were exposed to Pb from GD 1 to GD 20 and sacrificed on GD 20 for determination of maternal neuropathology (among other developmental endpoints).","After 20d treatment","After 20d treatment:
5.4 ug/dL for Control
23.8 ug/dL for 160 ppm",,Yes,
6716240,"Saleh, H. A., Abd El-Aziz, G. S., Mustafa, H. N., El-Fark, M., Mal, A., Aburas, M., Deifalla, A. H.","Thymoquinone ameliorates oxidative damage and histopathological changes of developing brain neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), F, n = 8
160 ppm, F, n = 8","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"NR (190-220g) - 20d of treatment","Short-Term (less than or equal to 30 days)",20,,,"Pregnant dams were exposed to Pb from GD 1 to GD 20 and sacrificed on GD 20 for determination of maternal neuropathology (among other developmental endpoints).","After 20d treatment","After 20d treatment:
5.4 ug/dL for Control
23.8 ug/dL for 160 ppm",,Yes,
6719257,"Fenga, C., Liu, S., Zhou, F., Gao, Y., Li, Y., Du, G., Chen, Y., Jiao, H., Feng, J., Zhang, Y., Bo, D., Li, Z., Fan, G.","Oxidative stress in the neurodegenerative brain following lifetime exposure to lead in rats: Changes in lifespan profiles",2019,carlson.laura@epa.gov,2,"Neurodegenerative Diseases","Neuronal Density",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M/F, n = 8
0.8 g/L (maternal) and 0.3 g/L (pup), M/F, n = 8
1.5 g/L (maternal) and 0.9 g/L (pup), M/F, n = 8","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -10 to PND 490",,,"Long-Term (greater than 30 days)",500,"Dams were exposed from 10 days prior to mating, throughout gestation and lactation. Upon weaning, pups were also dosed via drinking water until post weaning week 70 (PND 490) however the exposure concentrations were reduced to 0.3 g/L and 0.9 g/L.  Animals were collected at PND 21 (weaning), PND 287 (adulthood), and PND 490 (old age).","PND 21, 287, 490","PND 21:
0 mg/L (0 ug/dL) for Control
0.29 mg/L (29 ug/dL) for 0.8g/L 
0.69 mg/L (69 ug/dL) for 1.5 g/L 

PND287:
0 mg/L (0 ug/dL) for Control
0.29 mg/L (29 ug/dL) for 0.8 g/L
 0.61 mg/L (61 ug/dL) for 1.5 g/L

PND490:
0 mg/L (0 ug/dL) for Control
0.31 mg/L (31 ug/dL) for 0.8 g/L
 0.58 mg/L (58 ug/dL) for 1.5 g/L","PND 21:
0 ug/dL for Control
29 ug/dL for 0.8g/L
69 ug/dL for 1.5 g/L 

PND287:
0 ug/dL for Control
29 ug/dL for 0.8 g/L
61 ug/dL for 1.5 g/L

PND490:
0 ug/dL for Control
31 ug/dL for 0.8 g/L
58 ug/dL for 1.5 g/L",Yes,"Looks at impacts on lifestage from weaning through old age"
6719257,"Fenga, C., Liu, S., Zhou, F., Gao, Y., Li, Y., Du, G., Chen, Y., Jiao, H., Feng, J., Zhang, Y., Bo, D., Li, Z., Fan, G.","Oxidative stress in the neurodegenerative brain following lifetime exposure to lead in rats: Changes in lifespan profiles",2019,carlson.laura@epa.gov,2,"Neurodegenerative Diseases","Brain Volume",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M/F, n = 8
0.8 g/L (maternal) and 0.3 g/L (pup), M/F, n = 8
1.5 g/L (maternal) and 0.9 g/L (pup), M/F, n = 8","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -10 to PND 490",,,"Long-Term (greater than 30 days)",500,"Dams were exposed from 10 days prior to mating, throughout gestation and lactation. Upon weaning, pups were also dosed via drinking water until post weaning week 70 (PND 490) however the exposure concentrations were reduced to 0.3 g/L and 0.9 g/L.  Animals were collected at PND 21 (weaning), PND 287 (adulthood), and PND 490 (old age).","PND 21, 287, 490","PND 21:
0 mg/L (0 ug/dL) for Control
0.29 mg/L (29 ug/dL) for 0.8g/L
0.69 mg/L (69 ug/dL) for 1.5 g/L 

PND287:
0 mg/L (0 ug/dL) for Control
0.29 mg/L (29 ug/dL) for 0.8 g/L
 0.61 mg/L (61 ug/dL) for 1.5 g/L

PND490:
0 mg/L (0 ug/dL) for Control
0.31 mg/L (31 ug/dL) for 0.8 g/L
 0.58 mg/L (58 ug/dL) for 1.5 g/L","PND 21:
0 ug/dL for Control
29 ug/dL for 0.8g/L
69 ug/dL for 1.5 g/L 

PND287:
0 ug/dL for Control
29 ug/dL for 0.8 g/L
61 ug/dL for 1.5 g/L

PND490:
0 ug/dL for Control
31 ug/dL for 0.8 g/L
 58 ug/dL for 1.5 g/L",Yes,"Looks at impacts on lifestage from weaning through old age"
6719636,"Zhu, X., Liu, X., Wei, F., Wang, F., Merzenich, M. M., Schreiner, C. E., Sun, X., Zhou, X.","Perceptual Training Restores Impaired Cortical Temporal Processing Due to Lead Exposure",2016,carlson.laura@epa.gov,2,"Sensory Organ Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 15
58 mg/L, M/F, n = 17","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Dams were dosed from PND 1 to PND 21, and pups were assessed for behavioral testing at PND 60.","PND 60","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L",Yes,
6719636,"Zhu, X., Liu, X., Wei, F., Wang, F., Merzenich, M. M., Schreiner, C. E., Sun, X., Zhou, X.","Perceptual Training Restores Impaired Cortical Temporal Processing Due to Lead Exposure",2016,carlson.laura@epa.gov,2,"Sensory Organ Function","Cortical Temporal Processing",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 15
58 mg/L, M/F, n = 17","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Dams were dosed from PND 1 to PND 21, and pups were assessed for behavioral testing at PND 60.","PND 60","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L",Yes,
6719636,"Zhu, X., Liu, X., Wei, F., Wang, F., Merzenich, M. M., Schreiner, C. E., Sun, X., Zhou, X.","Perceptual Training Restores Impaired Cortical Temporal Processing Due to Lead Exposure",2016,carlson.laura@epa.gov,2,"Sensory Organ Function","Sound Discrimination Testing",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 15
58 mg/L, M/F, n = 17","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Dams were dosed from PND 1 to PND 21, and pups were assessed for behavioral testing at PND 60.","PND 60","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L",Yes,
6719636,"Zhu, X., Liu, X., Wei, F., Wang, F., Merzenich, M. M., Schreiner, C. E., Sun, X., Zhou, X.","Perceptual Training Restores Impaired Cortical Temporal Processing Due to Lead Exposure",2016,carlson.laura@epa.gov,2,"Sensory Organ Function","Auditory threshold (via BAEP)",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 15
58 mg/L, M/F, n = 17","Pb acetate",,"Oral, drinking water",,,,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Dams were dosed from PND 1 to PND 21, and pups were assessed for behavioral testing at PND 60.","PND 60","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control
8.2 ug/dL for 58 mg/L",Yes,
6719910,"Singh, P. K., Singh, M. K., Yadav, R. S., Nath, R., Mehrotra, A., Rawat, A., Dixit, R. K.","Omega-3 fatty acid attenuates oxidative stress in cerebral cortex, cerebellum, and hippocampus tissue and improves neurobehavioral activity in chronic lead-induced neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n = 5
2.5 mg/kg, M, n = 5","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"3 mo to 6 mo",,,"Long-Term (greater than 30 days)",90,,"6 mo","6 mo:
5.76 ug/dL for Control
28.4 ug/dL for 2.5 mg/kg",,No,
6719910,"Singh, P. K., Singh, M. K., Yadav, R. S., Nath, R., Mehrotra, A., Rawat, A., Dixit, R. K.","Omega-3 fatty acid attenuates oxidative stress in cerebral cortex, cerebellum, and hippocampus tissue and improves neurobehavioral activity in chronic lead-induced neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Elevated Plus Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n = 5
2.5 mg/kg, M, n = 5","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"3 mo to 6 mo",,,"Long-Term (greater than 30 days)",90,,"6 mo","6 mo:
5.76 ug/dL for Control
28.4 ug/dL for 2.5 mg/kg",,No,
6719910,"Singh, P. K., Singh, M. K., Yadav, R. S., Nath, R., Mehrotra, A., Rawat, A., Dixit, R. K.","Omega-3 fatty acid attenuates oxidative stress in cerebral cortex, cerebellum, and hippocampus tissue and improves neurobehavioral activity in chronic lead-induced neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Motor Function","Locomotor Activity",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n = 5
2.5 mg/kg, M, n = 5","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"3 mo to 6 mo",,,"Long-Term (greater than 30 days)",90,,"6 mo","6 mo:
5.76 ug/dL for Control
28.4 ug/dL for 2.5 mg/kg",,No,
6719910,"Singh, P. K., Singh, M. K., Yadav, R. S., Nath, R., Mehrotra, A., Rawat, A., Dixit, R. K.","Omega-3 fatty acid attenuates oxidative stress in cerebral cortex, cerebellum, and hippocampus tissue and improves neurobehavioral activity in chronic lead-induced neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Motor Function","Rotarod Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n = 5
2.5 mg/kg, M, n = 5","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"3 mo to 6 mo",,,"Long-Term (greater than 30 days)",90,,"6 mo","6 mo:
5.76 ug/dL for Control
28.4 ug/dL for 2.5 mg/kg",,No,
6719910,"Singh, P. K., Singh, M. K., Yadav, R. S., Nath, R., Mehrotra, A., Rawat, A., Dixit, R. K.","Omega-3 fatty acid attenuates oxidative stress in cerebral cortex, cerebellum, and hippocampus tissue and improves neurobehavioral activity in chronic lead-induced neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n = 5
2.5 mg/kg, M, n = 5","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"3 mo to 6 mo",,,"Long-Term (greater than 30 days)",90,,"6 mo","6 mo:
5.76 ug/dL for Control
28.4 ug/dL for 2.5 mg/kg",,No,
6719910,"Singh, P. K., Singh, M. K., Yadav, R. S., Nath, R., Mehrotra, A., Rawat, A., Dixit, R. K.","Omega-3 fatty acid attenuates oxidative stress in cerebral cortex, cerebellum, and hippocampus tissue and improves neurobehavioral activity in chronic lead-induced neurotoxicity",2019,Hester.Kirstin@epa.gov,2,"Brain Structure and Function","Brain Histopathology",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n = 5
2.5 mg/kg, M, n = 5","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"3 mo to 6 mo",,,"Long-Term (greater than 30 days)",90,,"6 mo","6 mo:
5.76 ug/dL for Control
28.4 ug/dL for 2.5 mg/kg",,No,
6732452,"Xiao, J., Wang, T., Xu, Y., Gu, X., Li, D., Niu, K., Wang, T., Zhao, J., Zhou, R., Wang, H. L.","Long-term probiotic intervention mitigates memory dysfunction through a novel H3K27me3-based mechanism in lead-exposed rats",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), F, n = 10
125 ppm, F, n = 10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -7 to PND 68",,,"Long-Term (greater than 30 days)",75,,"PND 56 -61","PND 68:
24.23 ng/mL (2.4 ug/dL) for Control
205 ng/mL (20.5 ug/dL) for 125 ppm","PND 68:
2.4 ug/dL for Control
20.5 ug/dL for 125 ppm",Yes,
6732452,"Xiao, J., Wang, T., Xu, Y., Gu, X., Li, D., Niu, K., Wang, T., Zhao, J., Zhou, R., Wang, H. L.","Long-term probiotic intervention mitigates memory dysfunction through a novel H3K27me3-based mechanism in lead-exposed rats",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Y Maze - Spontaneous Alternation",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), F, n = 10
125 ppm, F, n = 10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -7 to PND 68",,,"Long-Term (greater than 30 days)",75,,"PND 55","PND 68:
24.23 ng/mL (2.4 ug/dL) for Control
205 ng/mL (20.5 ug/dL) for 125 ppm","PND 68:
2.4 ug/dL for Control
20.5 ug/dL for 125 ppm",Yes,
6732452,"Xiao, J., Wang, T., Xu, Y., Gu, X., Li, D., Niu, K., Wang, T., Zhao, J., Zhou, R., Wang, H. L.","Long-term probiotic intervention mitigates memory dysfunction through a novel H3K27me3-based mechanism in lead-exposed rats",2020,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), F, n = 10
125 ppm, F, n = 10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -7 to PND 68",,,"Long-Term (greater than 30 days)",75,,"PND 22, 68","PND 68:
24.23 ng/mL (2.4 ug/dL) for Control
205 ng/mL (20.5 ug/dL) for 125 ppm","PND 68:
2.4 ug/dL for Control
20.5 ug/dL for 125 ppm",Yes,
6732964,"Sun, L., Zhou, X. L., Yi, H. P., Jiang, S. J., Yuan, H.","Lead-induced morphological changes and amyloid precursor protein accumulation in adult rat hippocampus",2014,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), NR, n = 20
580 ppm, NR, n = 20","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"NR (230-260g) - 3mo of treatment",,,"Long-Term (greater than 30 days)",90,"""Twenty rats were exposed to 580 ppm lead acetate in drinking water for 3 months"" No details were provided on sex or age of animals.","After 3mo treatment","After 3mo treatment:
3.0 ug/L (0.3 ug/dL) for Control
56.8 ug/L (5.7 ug/dL) for 580 ppm","0.3 ug/dL for 0 ppm, 5.68 ug/dL for 580 ppm Pb-NR",No,
6732964,"Sun, L., Zhou, X. L., Yi, H. P., Jiang, S. J., Yuan, H.","Lead-induced morphological changes and amyloid precursor protein accumulation in adult rat hippocampus",2014,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Immunohistochemistry of APP",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), NR, n = 20
580 ppm, NR, n = 20","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"NR (230-260g) - 3mo of treatment",,,"Long-Term (greater than 30 days)",90,"""Twenty rats were exposed to 580 ppm lead acetate in drinking water for 3 months"" No details were provided on sex or age of animals.","After 3mo treatment","After 3mo treatment:
3.0 ug/L (0.3 ug/dL) for Control
56.8 ug/L (5.7 ug/dL) for 580 ppm","0.3 ug/dL for 0 ppm, 5.68 ug/dL for 580 ppm Pb-NR",No,
6732997,"Su, P., Zhang, J., Wang, S., Aschner, M., Cao, Z., Zhao, F., Wang, D., Chen, J., Luo, W.","Genistein alleviates lead-induced neurotoxicity in vitro and in vivo: Involvement of multiple signaling pathways",2016,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water with 0.9% saline), M, n = 15
200 ppm, M, n = 16","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"PND 20 to PND 76",,,"Long-Term (greater than 30 days)",56,"Rats were dosed with Pb daily with 1mL/kg/day of 200 ppm Pb. 

It's somewhat unclear when MWM was run relative to exposure, I infer that it was run at the end of the 8 wk exposure and then the animals were sacrificed afterwards.","PND 76","PND 76: 
7.99 ug/L (0.8 ug/dL) for Control
84.17 ug/L (8.4 ug/dL) for 200 ppm","PND 76: 
0.8 ug/dL for Control
8.4 ug/dL for 200 ppm",No,
6732997,"Su, P., Zhang, J., Wang, S., Aschner, M., Cao, Z., Zhao, F., Wang, D., Chen, J., Luo, W.","Genistein alleviates lead-induced neurotoxicity in vitro and in vivo: Involvement of multiple signaling pathways",2016,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water with 0.9% saline), M, n = 4
200 ppm, M, n = 4","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"PND 20 to PND 76",,,"Long-Term (greater than 30 days)",56,"Rats were dosed with Pb daily with 1mL/kg/day of 200 ppm Pb. 

While 15-16 animals per group were exposed, only a subset of 4 were used in histopathological examinations.","PND 76","PND 76: 
7.99 ug/L (0.8 ug/dL) for Control
84.17 ug/L (8.4 ug/dL) for 200 ppm","PND 76: 
0.8 ug/dL for Control
8.4 ug/dL for 200 ppm",No,"This study examined the effect of Pb exposure on hippocampal neuron integrity using the NeuN marker and the TUNEL stain. The study also examined ROS measures and related pathways (biological plausibility)."
